Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Uranus,2066, 2066-Jan-20 02:59:00 UTC,0.687,55.643
Jupiter Uranus,2066, 2066-Jun-25 07:53:00 UTC,0.707,148.367
Jupiter Uranus,2066, 2066-Aug-21 15:59:00 UTC,0.51,92.869
Jupiter Uranus,2080, 2080-Jan-31 18:01:00 UTC,0.184,9.501
Jupiter Uranus,2093, 2093-May-17 20:13:00 UTC,0.346,60.72
Jupiter Uranus,2093, 2093-Oct-21 20:15:00 UTC,0.753,145.282
Jupiter Uranus,2093, 2093-Dec-06 10:02:00 UTC,0.598,98.878
Jupiter Uranus,2107, 2107-Apr-07 18:32:00 UTC,0.51,30.923
Jupiter Uranus,2120, 2120-Aug-17 20:21:00 UTC,0.39,36.381
Jupiter Uranus,2134, 2134-Oct-15 19:38:00 UTC,0.301,28.106
Jupiter Uranus,2148, 2148-Dec-27 16:23:00 UTC,0.634,35.894
Jupiter Uranus,2163, 2163-Jan-16 10:54:00 UTC,0.196,2.568
Jupiter Uranus,2176, 2176-May-01 15:26:00 UTC,0.279,48.281
Jupiter Uranus,2176, 2176-Nov-14 01:13:00 UTC,1.917,120.678
Jupiter Uranus,2190, 2190-Mar-20 13:48:00 UTC,0.518,44.385
Jupiter Uranus,2203, 2203-Jul-29 02:56:00 UTC,0.391,20.827
Jupiter Uranus,2217, 2217-Sep-22 16:42:00 UTC,0.255,10.121
Jupiter Uranus,2231, 2231-Dec-07 08:08:00 UTC,0.593,18.4
Jupiter Uranus,2246, 2246-Jan-01 18:54:00 UTC,0.205,14.053
Jupiter Uranus,2259, 2259-Apr-16 14:25:00 UTC,0.224,35.891
Jupiter Uranus,2272, 2272-Aug-09 16:30:00 UTC,0.823,93.491
Jupiter Uranus,2272, 2272-Oct-06 22:18:00 UTC,0.984,150.743
Jupiter Uranus,2273, 2273-Mar-01 17:53:00 UTC,0.54,59.805
Jupiter Uranus,2286, 2286-Jul-09 13:53:00 UTC,0.392,7.298
Jupiter Uranus,2300, 2300-Aug-30 21:31:00 UTC,0.225,7.373
Jupiter Uranus,2314, 2314-Nov-16 22:23:00 UTC,0.56,2.234
