Planets,Years,Date,Angular Separation (deg),Elongation
Jupiter Neptune,1625, 1625-Dec-07 02:50:00 UTC,0.526,51.156
Jupiter Neptune,1626, 1626-May-13 12:19:00 UTC,0.327,150.188
Jupiter Neptune,1626, 1626-Jul-16 06:23:00 UTC,0.551,88.682
Jupiter Neptune,1638, 1638-Dec-04 10:02:00 UTC,0.851,20.927
Jupiter Neptune,1651, 1651-Nov-30 20:32:00 UTC,1.002,10.011
Jupiter Neptune,1664, 1664-Apr-30 21:38:00 UTC,0.702,113.466
Jupiter Neptune,1664, 1664-Nov-16 21:20:00 UTC,0.982,50.399
Jupiter Neptune,1677, 1677-Mar-11 00:12:00 UTC,0.418,35.781
Jupiter Neptune,1690, 1690-Feb-21 18:09:00 UTC,0.031,8.899
Jupiter Neptune,1702, 1702-Jun-26 18:50:00 UTC,0.275,82.334
Jupiter Neptune,1702, 1702-Sep-19 13:43:00 UTC,0.001,164.728
Jupiter Neptune,1703, 1703-Jan-27 00:45:00 UTC,0.38,63.375
Jupiter Neptune,1715, 1715-May-22 22:08:00 UTC,0.76,21.294
Jupiter Neptune,1728, 1728-May-07 02:15:00 UTC,1.026,20.71
Jupiter Neptune,1740, 1740-Sep-09 18:01:00 UTC,0.737,69.919
Jupiter Neptune,1740, 1740-Dec-24 08:11:00 UTC,0.944,176.642
Jupiter Neptune,1741, 1741-Apr-18 18:33:00 UTC,1.102,66.388
Jupiter Neptune,1753, 1753-Aug-24 23:55:00 UTC,0.574,26.771
Jupiter Neptune,1766, 1766-Aug-24 09:59:00 UTC,0.216,1.781
Jupiter Neptune,1779, 1779-Aug-27 03:13:00 UTC,0.234,26.607
Jupiter Neptune,1792, 1792-Jan-12 21:29:00 UTC,0.465,82.747
Jupiter Neptune,1792, 1792-Mar-26 09:20:00 UTC,0.29,157.325
Jupiter Neptune,1792, 1792-Aug-24 10:03:00 UTC,0.668,55.817
Jupiter Neptune,1804, 1804-Dec-30 04:19:00 UTC,0.808,41.212
Jupiter Neptune,1805, 1805-Jul-20 13:52:00 UTC,1.399,119.177
Jupiter Neptune,1817, 1817-Dec-25 00:58:00 UTC,0.936,8.619
Jupiter Neptune,1830, 1830-Dec-15 11:22:00 UTC,0.872,28.37
Jupiter Neptune,1843, 1843-Apr-09 21:56:00 UTC,0.363,58.452
Jupiter Neptune,1843, 1843-Sep-12 01:39:00 UTC,0.827,150.675
Jupiter Neptune,1843, 1843-Nov-09 05:04:00 UTC,0.727,92.571
Jupiter Neptune,1856, 1856-Mar-17 09:26:00 UTC,0.045,8.841
Jupiter Neptune,1868, 1868-Aug-05 23:50:00 UTC,3.04,119.517
Jupiter Neptune,1869, 1869-Feb-26 01:11:00 UTC,0.483,38.069
Jupiter Neptune,1881, 1881-Jun-18 12:32:00 UTC,0.726,41.763
Jupiter Neptune,1882, 1882-Jan-07 07:22:00 UTC,2.502,119.254
Jupiter Neptune,1894, 1894-Jun-01 10:40:00 UTC,0.975,2.327
Jupiter Neptune,1906, 1906-Nov-01 09:04:00 UTC,1.672,116.986
Jupiter Neptune,1907, 1907-May-22 11:00:00 UTC,1.004,40.623
Jupiter Neptune,1919, 1919-Sep-24 00:46:00 UTC,0.504,49.121
Jupiter Neptune,1920, 1920-Mar-08 14:43:00 UTC,0.93,141.435
Jupiter Neptune,1920, 1920-Apr-24 22:03:00 UTC,0.877,94.364
Jupiter Neptune,1932, 1932-Sep-19 04:32:00 UTC,0.14,17.628
Jupiter Neptune,1945, 1945-Sep-22 08:57:00 UTC,0.303,7.003
Jupiter Neptune,1958, 1958-Feb-17 23:21:00 UTC,3.098,117.147
Jupiter Neptune,1958, 1958-Sep-24 15:14:00 UTC,0.719,32.248
Jupiter Neptune,1971, 1971-Feb-01 07:23:00 UTC,0.74,69.01
Jupiter Neptune,1971, 1971-May-22 02:20:00 UTC,0.715,178.293
Jupiter Neptune,1971, 1971-Sep-16 01:56:00 UTC,1.027,68.045
Jupiter Neptune,1984, 1984-Jan-19 16:32:00 UTC,0.863,28.779
Jupiter Neptune,1997, 1997-Jan-09 11:04:00 UTC,0.768,7.912
Jupiter Neptune,2009, 2009-May-27 09:26:00 UTC,0.39,99.786
Jupiter Neptune,2009, 2009-Jul-09 16:53:00 UTC,0.562,141.526
Jupiter Neptune,2009, 2009-Dec-21 09:23:00 UTC,0.527,54.657
Jupiter Neptune,2022, 2022-Apr-12 14:48:00 UTC,0.099,28.716
Jupiter Neptune,2035, 2035-Mar-24 16:10:00 UTC,0.545,17.529
Jupiter Neptune,2047, 2047-Jul-22 21:09:00 UTC,0.657,68.686
Jupiter Neptune,2047, 2047-Nov-16 21:12:00 UTC,0.565,175.479
Jupiter Neptune,2048, 2048-Feb-24 12:11:00 UTC,0.906,73.429
Jupiter Neptune,2060, 2060-Jun-27 13:21:00 UTC,0.91,17.681
Jupiter Neptune,2073, 2073-Jun-17 22:13:00 UTC,0.904,19.271
Jupiter Neptune,2085, 2085-Nov-01 06:47:00 UTC,0.476,83.14
Jupiter Neptune,2086, 2086-Jan-10 15:47:00 UTC,0.712,155.043
Jupiter Neptune,2086, 2086-Jun-10 00:30:00 UTC,0.695,54.661
Jupiter Neptune,2098, 2098-Oct-16 19:49:00 UTC,0.087,39.883
Jupiter Neptune,2099, 2099-May-07 07:34:00 UTC,0.964,116.162
Jupiter Neptune,2111, 2111-Oct-18 14:39:00 UTC,0.347,13.069
Jupiter Neptune,2124, 2124-Oct-20 21:17:00 UTC,0.74,11.262
Jupiter Neptune,2137, 2137-Mar-25 06:34:00 UTC,1.674,118.376
Jupiter Neptune,2137, 2137-Oct-18 20:29:00 UTC,1.016,40.631
Jupiter Neptune,2150, 2150-Feb-16 22:05:00 UTC,0.788,52.504
Jupiter Neptune,2150, 2150-Aug-03 12:48:00 UTC,1.085,142.794
Jupiter Neptune,2150, 2150-Sep-18 00:37:00 UTC,1.148,98.415
Jupiter Neptune,2163, 2163-Feb-03 08:11:00 UTC,0.673,11.457
Jupiter Neptune,2176, 2176-Jan-19 11:50:00 UTC,0.389,30.972
Jupiter Neptune,2188, 2188-May-10 21:14:00 UTC,0.123,51.328
Jupiter Neptune,2188, 2188-Nov-20 02:15:00 UTC,0.57,119.757
Jupiter Neptune,2201, 2201-Apr-19 01:19:00 UTC,0.579,1.878
Jupiter Neptune,2213, 2213-Sep-17 19:04:00 UTC,1.118,119.119
Jupiter Neptune,2214, 2214-Mar-30 08:21:00 UTC,0.94,45.541
Jupiter Neptune,2226, 2226-Jul-25 22:17:00 UTC,0.842,37.949
Jupiter Neptune,2227, 2227-Feb-17 03:21:00 UTC,2.849,118.001
Jupiter Neptune,2239, 2239-Jul-15 07:53:00 UTC,0.811,0.187
Jupiter Neptune,2252, 2252-Jul-10 00:26:00 UTC,0.565,31.811
Jupiter Neptune,2264, 2264-Nov-18 16:29:00 UTC,0.073,66.886
Jupiter Neptune,2265, 2265-Mar-07 08:46:00 UTC,0.423,177.617
Jupiter Neptune,2265, 2265-Jul-03 19:54:00 UTC,0.187,65.483
Jupiter Neptune,2277, 2277-Nov-13 07:25:00 UTC,0.368,33.815
Jupiter Neptune,2278, 2278-Jun-11 17:33:00 UTC,2.094,116.901
Jupiter Neptune,2290, 2290-Nov-14 12:28:00 UTC,0.742,7.597
Jupiter Neptune,2303, 2303-Nov-15 11:15:00 UTC,0.984,19.877
Jupiter Neptune,2316, 2316-Mar-27 12:49:00 UTC,0.722,85.47
Jupiter Neptune,2316, 2316-Jun-09 01:10:00 UTC,0.842,157.722
Jupiter Neptune,2316, 2316-Nov-03 00:53:00 UTC,1.071,58.634
Jupiter Neptune,2329, 2329-Feb-28 03:20:00 UTC,0.594,30.649
Jupiter Neptune,2342, 2342-Feb-12 12:15:00 UTC,0.285,12.46
Jupiter Neptune,2354, 2354-Jun-14 20:57:00 UTC,0.098,78.358
Jupiter Neptune,2354, 2354-Sep-18 15:06:00 UTC,0.233,171.052
Jupiter Neptune,2355, 2355-Jan-16 23:26:00 UTC,0.084,66.924
Jupiter Neptune,2367, 2367-May-13 08:37:00 UTC,0.592,19.414
Jupiter Neptune,2380, 2380-Apr-24 08:54:00 UTC,0.938,25.769
Jupiter Neptune,2392, 2392-Aug-21 19:45:00 UTC,0.777,58.963
Jupiter Neptune,2393, 2393-Jan-08 20:09:00 UTC,0.978,160.44
Jupiter Neptune,2393, 2393-Mar-26 09:39:00 UTC,1.127,82.269
Jupiter Neptune,2405, 2405-Aug-07 09:53:00 UTC,0.731,17.323
Jupiter Neptune,2418, 2418-Aug-04 04:45:00 UTC,0.462,13.503
Jupiter Neptune,2431, 2431-Jan-11 01:58:00 UTC,0.804,116.399
Jupiter Neptune,2431, 2431-Aug-03 07:07:00 UTC,0.058,42.043
Jupiter Neptune,2443, 2443-Dec-11 09:18:00 UTC,0.36,56.361
Jupiter Neptune,2444, 2444-Apr-28 00:08:00 UTC,0.091,162.877
Jupiter Neptune,2444, 2444-Jul-24 09:22:00 UTC,0.366,78.199
Jupiter Neptune,2456, 2456-Dec-07 14:56:00 UTC,0.727,26.069
Jupiter Neptune,2469, 2469-Dec-06 04:07:00 UTC,0.945,2.79
Jupiter Neptune,2482, 2482-May-01 18:29:00 UTC,2.87,118.835
Jupiter Neptune,2482, 2482-Nov-29 13:17:00 UTC,0.989,36.712
Jupiter Neptune,2495, 2495-Mar-25 13:56:00 UTC,0.53,51.357
Jupiter Neptune,2495, 2495-Oct-08 07:40:00 UTC,0.969,116.534
Jupiter Neptune,2508, 2508-Mar-06 00:49:00 UTC,0.202,4.56
Jupiter Neptune,2520, 2520-Jul-30 23:39:00 UTC,1.707,119.957
Jupiter Neptune,2521, 2521-Feb-13 04:37:00 UTC,0.204,44.004
Jupiter Neptune,2533, 2533-Jun-04 23:24:00 UTC,0.586,36.47
Jupiter Neptune,2546, 2546-May-17 22:58:00 UTC,0.919,8.62
Jupiter Neptune,2558, 2558-Sep-30 02:45:00 UTC,0.713,91.484
Jupiter Neptune,2558, 2558-Nov-24 18:02:00 UTC,0.776,147.244
Jupiter Neptune,2559, 2559-Apr-30 05:56:00 UTC,1.075,53.618
Jupiter Neptune,2571, 2571-Aug-30 22:55:00 UTC,0.66,34.244
Jupiter Neptune,2572, 2572-Mar-28 00:20:00 UTC,2.936,116.726
Jupiter Neptune,2584, 2584-Aug-26 10:39:00 UTC,0.377,3.209
Jupiter Neptune,2597, 2597-Aug-27 14:00:00 UTC,0.035,23.452
Jupiter Neptune,2610, 2610-Jan-18 23:55:00 UTC,0.296,89.954
Jupiter Neptune,2610, 2610-Mar-16 07:22:00 UTC,0.134,147.454
Jupiter Neptune,2610, 2610-Aug-28 02:27:00 UTC,0.474,51.47
Jupiter Neptune,2623, 2623-Jan-03 05:49:00 UTC,0.695,46.312
Jupiter Neptune,2623, 2623-Jul-03 20:52:00 UTC,0.707,132.268
Jupiter Neptune,2623, 2623-Jul-26 22:29:00 UTC,0.788,109.838
